match_id,start_time,lobby_type,r1_hero,r1_level,r1_xp,r1_gold,r1_lh,r1_kills,r1_deaths,r1_items,r2_hero,r2_level,r2_xp,r2_gold,r2_lh,r2_kills,r2_deaths,r2_items,r3_hero,r3_level,r3_xp,r3_gold,r3_lh,r3_kills,r3_deaths,r3_items,r4_hero,r4_level,r4_xp,r4_gold,r4_lh,r4_kills,r4_deaths,r4_items,r5_hero,r5_level,r5_xp,r5_gold,r5_lh,r5_kills,r5_deaths,r5_items,d1_hero,d1_level,d1_xp,d1_gold,d1_lh,d1_kills,d1_deaths,d1_items,d2_hero,d2_level,d2_xp,d2_gold,d2_lh,d2_kills,d2_deaths,d2_items,d3_hero,d3_level,d3_xp,d3_gold,d3_lh,d3_kills,d3_deaths,d3_items,d4_hero,d4_level,d4_xp,d4_gold,d4_lh,d4_kills,d4_deaths,d4_items,d5_hero,d5_level,d5_xp,d5_gold,d5_lh,d5_kills,d5_deaths,d5_items,first_blood_time,first_blood_team,first_blood_player1,first_blood_player2,radiant_bottle_time,radiant_courier_time,radiant_flying_courier_time,radiant_tpscroll_count,radiant_boots_count,radiant_ward_observer_count,radiant_ward_sentry_count,radiant_first_ward_time,dire_bottle_time,dire_courier_time,dire_flying_courier_time,dire_tpscroll_count,dire_boots_count,dire_ward_observer_count,dire_ward_sentry_count,dire_first_ward_time,duration,radiant_win,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire
22038,1438596969,1,72,3,1026,1076,16,0,0,6,112,2,561,875,3,1,0,7,100,5,2050,1545,20,0,0,5,15,5,1967,1297,17,0,0,6,7,2,321,596,1,0,0,9,26,2,517,500,0,0,0,10,12,3,1092,1071,14,0,0,11,85,3,848,591,2,0,0,9,47,4,1212,1155,15,0,0,7,25,5,1995,1532,24,0,1,9,183.0,0.0,1.0,,40.0,-85.0,208.0,2,5,3,0,72.0,136.0,-71.0,,6,3,2,1,-10.0,1494,1,2038,1590,63,63
28405,1440771085,1,106,4,1642,888,7,0,0,7,1,3,872,858,9,0,1,5,98,4,1558,917,10,0,0,7,7,2,448,549,1,0,0,9,25,2,582,499,0,0,1,7,50,2,547,963,6,1,0,9,17,5,1999,1429,19,0,0,5,12,3,1326,1281,12,1,0,10,55,5,2190,1385,18,0,0,8,26,3,782,783,2,0,0,4,141.0,1.0,5.0,,258.0,-70.0,297.0,4,1,3,1,-6.0,133.0,-80.0,246.0,0,4,2,0,36.0,2354,0,0,1974,0,63
9361,1434048538,0,18,3,720,869,6,0,0,6,1,3,1009,1267,11,1,0,9,57,3,919,524,0,0,0,5,21,3,792,527,0,0,1,8,14,5,2133,1376,19,0,0,5,75,2,624,500,0,0,0,8,31,4,1304,759,0,1,0,7,52,4,1862,1032,13,0,1,5,99,3,1048,970,7,0,0,5,6,4,1408,1691,28,0,0,10,1.0,0.0,1.0,,50.0,60.0,,1,4,1,0,78.0,105.0,-82.0,183.0,1,4,2,0,-13.0,2619,0,0,1456,0,60
36847,1442990333,0,25,5,1957,1405,15,1,0,7,112,2,379,553,0,0,0,8,3,3,680,838,5,0,0,7,89,5,1807,1413,20,0,0,8,110,4,1228,870,9,0,2,10,19,3,1267,1798,19,1,0,6,9,3,751,587,2,0,0,9,79,2,734,871,1,1,0,9,21,5,1970,1282,19,0,0,6,85,3,1143,756,5,0,1,6,,,,,201.0,-88.0,237.0,1,2,2,1,-38.0,120.0,-74.0,,2,4,2,0,-15.0,2329,1,1854,0,63,0
114343,1450187811,1,68,3,609,539,1,0,0,8,12,4,1228,1367,21,0,0,11,85,3,1321,931,3,1,1,6,71,3,595,710,5,0,2,6,21,5,2143,1619,23,0,0,6,64,3,973,727,1,0,0,7,112,3,789,1014,2,1,0,11,2,4,1640,1045,13,0,0,10,72,3,963,1826,25,2,1,12,74,5,1950,1002,10,0,0,6,87.0,1.0,6.0,3.0,148.0,-73.0,,3,3,2,1,-20.0,,-79.0,183.0,2,5,2,0,3.0,3002,1,1972,4,63,3
40419,1443457591,1,91,2,465,828,3,0,0,6,71,4,1521,1122,15,0,1,7,11,4,1847,1975,30,1,1,10,7,2,460,698,1,0,2,10,99,4,1551,910,10,0,1,6,62,3,759,967,0,1,0,12,14,5,1781,2016,18,3,0,14,100,4,1481,988,8,0,0,10,1,4,1381,1993,33,1,0,11,112,3,587,577,0,0,1,9,,,,,11.0,-80.0,212.0,4,2,3,2,-40.0,86.0,-87.0,256.0,8,4,3,2,-34.0,1595,1,1844,960,63,48
92161,1449149264,7,100,3,814,1014,11,0,1,9,72,5,2228,1571,14,1,0,7,86,2,711,546,1,0,0,11,99,3,926,802,5,0,1,7,15,3,826,871,9,0,1,9,102,3,1186,1219,14,1,1,10,28,3,909,1130,5,2,0,8,5,3,940,686,3,0,0,7,44,5,1908,1209,17,0,0,7,75,3,1067,1004,1,1,1,8,9.0,1.0,6.0,4.0,129.0,-68.0,,7,3,2,0,68.0,,-74.0,271.0,4,4,2,0,76.0,2561,0,388,1572,51,15
52138,1445394410,0,47,5,2006,1835,19,1,0,14,50,2,668,500,0,0,2,11,72,3,936,957,11,1,1,10,60,5,1826,1084,14,0,0,7,31,3,851,550,1,0,0,7,21,5,1903,1310,19,0,0,11,73,3,1048,1531,5,0,1,6,40,2,609,675,0,0,0,8,2,4,1181,1257,6,2,1,6,26,3,840,936,3,1,0,7,57.0,1.0,8.0,1.0,,-85.0,258.0,5,3,3,1,-28.0,4.0,-85.0,182.0,2,4,2,0,-17.0,1883,1,2046,0,63,0
59366,1446705541,7,42,3,1014,933,4,1,0,6,26,2,683,661,3,0,1,7,9,5,1981,1211,17,0,0,6,12,4,1173,914,10,0,0,4,20,4,1242,1464,2,2,1,7,99,4,1222,1328,8,1,1,7,94,4,1365,1590,18,1,0,10,16,3,1038,732,3,0,0,9,5,3,1062,538,1,0,2,7,39,5,2105,1023,13,0,0,6,65.0,1.0,5.0,4.0,,-45.0,,3,4,2,0,265.0,174.0,-84.0,,3,1,2,0,12.0,3187,1,1844,0,63,0
6868,1433116157,1,99,4,1167,1303,8,1,1,7,61,5,2190,1531,24,0,0,8,27,3,1146,1097,6,1,0,9,17,5,1981,1786,31,0,0,7,31,3,702,632,1,0,0,11,6,4,1411,1210,15,0,0,9,20,2,326,500,0,0,1,7,2,5,2131,1533,24,0,1,8,21,5,2238,1855,27,0,0,7,92,2,614,930,4,1,0,8,198.0,0.0,0.0,,123.0,-82.0,181.0,2,3,2,1,31.0,128.0,-86.0,195.0,1,4,2,0,-35.0,2264,0,518,1846,3,63
77788,1448413467,7,42,5,2012,1394,17,0,0,5,28,2,458,836,2,0,1,10,40,2,265,595,1,0,0,5,100,2,540,736,1,0,0,7,26,5,1754,1191,12,0,0,8,57,5,2014,1510,22,0,0,6,50,3,809,604,1,0,0,8,39,4,1713,1089,14,0,0,4,5,2,685,831,0,1,0,9,18,3,909,1464,20,0,0,7,220.0,1.0,8.0,1.0,,-86.0,291.0,1,2,1,0,41.0,159.0,-87.0,196.0,1,1,1,0,58.0,2197,0,0,1983,3,63
87429,1448914608,7,6,3,826,694,6,0,2,8,74,4,1811,1267,19,0,0,9,43,3,964,1078,11,0,1,7,52,3,830,908,2,1,0,10,27,3,796,557,3,0,2,11,16,2,533,804,10,0,0,6,90,4,1345,1261,4,1,0,8,25,5,2213,1746,15,0,0,11,72,3,958,1146,14,0,1,9,61,6,2929,2770,25,4,0,5,70.0,1.0,7.0,1.0,,-71.0,235.0,6,4,2,1,12.0,75.0,-86.0,,2,3,1,1,-6.0,1331,0,0,2047,0,63
55820,1446056412,7,93,3,1128,922,11,0,2,9,62,2,392,599,1,0,0,6,60,4,1200,624,3,0,1,6,21,4,1746,1416,19,0,0,7,100,2,412,542,1,0,1,7,19,5,1939,1122,15,0,0,7,3,4,1365,1159,9,0,0,6,28,4,1353,1826,23,1,0,9,9,3,1030,1283,6,3,0,12,50,3,883,554,0,0,0,9,-1.0,1.0,7.0,0.0,201.0,-83.0,181.0,4,1,0,1,36.0,137.0,-81.0,229.0,2,3,2,1,30.0,3241,0,260,256,51,48
29473,1441112292,7,97,4,1710,1333,12,0,1,10,86,2,539,536,0,0,0,10,39,5,1979,1538,15,1,1,8,8,4,1614,2014,33,0,0,11,25,3,740,1488,3,3,0,12,75,4,1758,1254,10,1,2,6,30,3,671,526,1,0,0,9,100,2,718,773,3,0,1,6,71,3,685,714,1,0,1,4,72,4,1281,1689,20,1,0,10,-5.0,0.0,4.0,,191.0,-76.0,193.0,5,3,3,1,14.0,101.0,-85.0,185.0,2,2,2,0,-29.0,1586,1,1983,4,63,3
42052,1443785118,0,85,3,722,697,4,0,1,10,84,3,931,836,8,0,0,8,36,5,2073,1400,18,0,1,6,67,3,734,881,8,0,1,9,81,4,1336,1175,8,1,1,8,27,3,1019,1030,7,1,0,8,59,3,896,828,8,0,1,2,57,3,851,851,1,1,0,8,11,4,1833,1706,22,1,0,9,47,4,1795,1409,14,1,0,10,,,,,80.0,-86.0,180.0,3,2,2,0,5.0,59.0,-78.0,236.0,1,5,3,0,-21.0,2361,0,0,1926,0,63
88710,1448980244,0,55,4,1658,1007,10,0,0,8,3,3,893,546,2,0,0,3,40,1,70,557,0,0,0,9,11,4,1796,1256,17,0,1,7,72,3,1250,1409,22,0,0,12,19,4,1280,1480,19,0,0,7,95,4,1476,1187,17,0,0,7,112,3,1128,974,0,1,0,9,110,4,1165,573,2,0,0,9,71,2,589,542,1,0,0,7,202.0,1.0,7.0,3.0,70.0,-83.0,261.0,1,3,2,0,-27.0,158.0,-84.0,281.0,3,3,3,1,8.0,2661,1,1846,260,63,51
17842,1437129527,1,75,5,2037,1517,25,0,0,7,4,3,1008,1777,28,0,1,9,96,4,1295,862,8,0,0,9,20,3,680,499,0,0,0,10,86,2,463,537,1,0,0,8,89,1,123,557,0,0,0,6,72,4,1417,1616,26,0,0,8,47,5,2075,1366,18,0,0,12,30,2,529,543,1,0,0,9,55,3,1350,1369,8,1,0,7,84.0,1.0,9.0,,,-85.0,209.0,4,3,2,0,-32.0,,-80.0,186.0,1,4,2,0,-21.0,3217,0,0,1796,3,51
27587,1440510413,0,42,3,929,617,3,0,0,6,17,4,1718,1098,14,0,0,5,50,2,697,636,2,0,0,7,31,3,936,645,1,0,0,7,52,4,1676,959,13,0,0,9,112,2,699,540,1,0,0,8,104,2,534,718,5,0,0,3,72,5,2193,1455,23,0,0,7,69,3,874,910,8,0,0,4,30,3,930,611,3,0,0,8,,,,,191.0,-83.0,214.0,0,0,2,0,-33.0,121.0,-76.0,244.0,0,2,2,0,-22.0,2808,0,0,1972,0,63
110379,1449917423,1,42,4,1334,1405,20,0,0,11,3,2,415,696,0,1,1,16,11,5,2146,1920,24,1,1,12,68,3,546,612,1,0,0,9,71,4,1522,1189,17,0,0,6,55,3,1020,1213,15,0,1,9,67,4,1360,1133,16,0,0,5,50,3,807,635,2,0,0,8,39,4,2130,1600,14,1,0,12,16,3,593,907,5,1,1,4,101.0,1.0,9.0,1.0,146.0,-73.0,186.0,4,6,6,1,19.0,163.0,-73.0,,1,3,2,1,-24.0,3277,0,1588,1828,15,63
91853,1449135942,1,100,4,1549,1284,14,0,1,7,71,3,740,1381,0,2,0,12,39,5,1952,2375,21,3,0,11,98,5,1884,1751,21,1,0,8,101,2,576,953,1,0,0,13,85,2,421,703,1,0,2,7,50,3,1124,1226,4,1,1,13,106,3,1118,1412,15,0,0,7,11,4,1528,1581,19,0,1,10,65,4,1702,1237,14,0,2,9,50.0,0.0,2.0,5.0,72.0,-84.0,,3,5,4,1,2.0,,,204.0,8,5,3,1,-48.0,2908,1,2039,4,63,3
65778,1447177797,7,39,4,1593,1644,28,0,0,11,84,3,879,558,0,0,0,10,50,3,650,759,9,0,0,8,51,3,747,635,3,0,0,5,11,4,1260,964,9,0,0,6,15,3,1156,1725,29,0,0,9,68,2,580,500,0,0,0,7,47,5,2116,1835,19,0,0,12,100,3,1134,632,3,0,0,5,26,2,504,523,1,0,0,8,285.0,1.0,7.0,2.0,170.0,-78.0,,3,3,3,0,-9.0,,-83.0,212.0,1,3,2,1,-18.0,3617,1,1847,0,63,0
105618,1449721811,1,69,4,1315,1565,8,1,0,11,21,5,2090,1459,23,0,0,8,39,4,1440,1487,14,1,3,10,112,2,632,637,2,0,1,9,14,3,1566,1956,7,3,2,18,50,3,974,740,6,0,1,10,71,3,1275,1446,3,2,1,7,72,3,922,1430,16,1,1,10,55,4,1577,1554,17,1,0,9,13,5,2184,2071,18,2,2,11,52.0,0.0,4.0,7.0,204.0,-86.0,181.0,4,4,3,1,10.0,164.0,-73.0,,6,5,2,1,1.0,1821,0,1542,2022,35,63
20008,1437854560,0,34,5,1689,935,8,0,1,7,3,3,797,786,0,1,0,8,41,4,1557,1889,25,1,0,5,20,2,303,726,1,0,0,5,21,3,1310,875,9,0,0,8,1,4,1608,1369,21,0,0,8,86,2,417,603,1,0,1,10,22,5,2162,2052,25,1,0,10,7,2,408,533,2,0,0,8,99,4,1154,723,4,0,1,7,140.0,0.0,2.0,,263.0,-85.0,188.0,1,1,2,0,-27.0,27.0,-75.0,262.0,4,2,2,1,15.0,2622,0,6,1958,3,63
26889,1440299003,7,44,4,1724,1569,24,0,0,4,30,3,869,625,3,0,0,9,74,5,1980,1331,12,0,0,5,71,2,630,986,10,0,2,10,21,3,954,851,2,0,0,9,39,5,2018,1730,26,0,0,7,68,3,719,615,0,0,0,9,28,3,874,1171,8,1,0,7,13,4,1326,745,6,0,0,13,26,2,452,769,2,1,0,9,77.0,1.0,7.0,,,-84.0,,3,4,2,0,12.0,133.0,-85.0,284.0,6,4,4,0,12.0,2783,1,1972,0,63,2
104504,1449676786,7,69,4,1409,999,11,0,0,7,11,4,1434,1098,14,0,0,5,16,2,821,981,13,0,1,3,94,4,1707,1551,21,0,0,11,68,3,728,884,1,1,0,10,100,4,1242,963,5,0,1,10,57,1,122,550,1,0,0,9,46,5,2340,1857,28,0,0,9,8,4,1639,1693,29,0,0,10,9,2,377,929,1,1,0,11,134.0,1.0,9.0,2.0,45.0,-85.0,211.0,4,3,2,0,-36.0,47.0,-82.0,258.0,2,3,2,1,53.0,1958,0,0,1854,0,63
52848,1445540507,1,112,1,204,554,0,0,0,10,7,3,903,576,2,0,0,8,39,4,1760,970,9,0,0,7,93,3,861,1168,16,0,0,6,51,3,784,705,5,0,0,7,47,4,1486,1655,25,0,0,9,75,5,2043,1203,17,0,0,6,101,2,494,550,3,0,0,10,25,3,647,591,3,0,0,6,55,4,1535,1297,18,0,0,6,,,,,234.0,-85.0,242.0,0,3,3,1,-52.0,,-81.0,209.0,0,3,3,1,-18.0,2569,0,0,1974,0,63
66344,1447217995,1,86,3,757,1064,2,0,0,13,28,4,1639,1494,14,1,0,8,72,4,1758,1604,27,0,0,12,16,3,674,642,4,0,0,3,11,4,1842,1727,24,0,1,9,67,4,1350,1242,17,0,0,7,39,4,1549,1430,7,1,0,8,112,1,502,637,4,0,1,7,100,3,1470,788,7,0,0,7,7,2,485,550,1,0,0,8,109.0,1.0,6.0,4.0,45.0,-80.0,285.0,4,5,4,1,-28.0,113.0,-82.0,,3,4,2,2,-31.0,1957,1,1982,0,63,0
105691,1449725601,1,20,4,1467,1227,17,0,2,15,11,5,2010,1659,25,0,1,8,28,3,1194,1248,6,1,1,6,92,2,542,549,1,0,2,11,85,3,982,1234,6,1,1,8,22,5,2235,2118,19,3,1,7,71,4,1072,1494,11,1,0,11,3,3,1528,1313,5,1,0,11,72,4,1466,1768,24,1,1,9,62,4,1444,1277,0,1,0,10,154.0,1.0,9.0,3.0,124.0,-89.0,,5,2,2,2,-72.0,36.0,-86.0,182.0,1,4,2,0,-37.0,2230,0,1824,1974,60,63
93461,1449207230,1,50,2,759,550,1,0,0,10,21,4,1550,1410,19,0,0,8,93,4,1246,1487,25,0,0,8,7,2,624,554,0,0,0,7,28,4,1205,853,10,0,0,5,31,3,984,605,4,0,0,9,97,3,865,698,5,0,0,6,91,3,768,604,1,0,0,4,8,4,1688,1903,31,0,0,15,19,4,1204,1495,25,0,0,8,,,,,155.0,-86.0,180.0,1,3,2,1,-33.0,45.0,-85.0,196.0,1,7,2,1,36.0,1599,0,1540,2038,3,63
67341,1447288066,7,67,4,1435,1729,29,0,0,4,55,4,1599,1405,21,0,0,8,64,2,680,554,0,0,0,7,73,5,1899,2287,23,0,1,10,50,1,471,536,2,0,0,10,86,2,548,618,0,0,0,9,1,4,1402,1434,22,0,0,4,112,2,492,702,1,0,0,6,69,4,1269,944,8,0,0,5,21,5,2275,1713,18,1,0,8,138.0,1.0,9.0,3.0,2.0,-87.0,203.0,6,3,3,0,-32.0,124.0,-85.0,181.0,1,3,2,1,34.0,1942,1,1956,0,63,0
99791,1449478215,1,85,4,1269,1745,19,2,0,11,47,3,1066,1364,21,0,0,8,50,3,1004,943,3,1,0,8,100,4,1264,1097,8,0,0,10,11,5,2157,1586,18,1,1,9,112,3,1235,953,1,0,1,11,17,4,1878,1472,14,0,1,12,106,4,1198,1089,10,0,1,9,60,3,988,863,1,0,1,10,97,4,1285,1791,11,1,0,8,,,,,143.0,-76.0,204.0,5,4,2,0,-23.0,106.0,-64.0,248.0,5,3,1,0,5.0,1674,1,2039,1574,63,15
12846,1435641794,1,7,1,241,553,0,0,0,10,45,1,312,499,0,0,1,8,55,2,648,619,3,0,0,3,12,4,1615,1359,21,0,0,13,25,4,1392,744,6,0,0,7,104,4,1417,1879,31,0,0,8,86,2,416,523,0,0,0,10,98,5,1923,1195,17,0,0,9,79,2,517,861,1,1,0,8,52,5,2214,1802,28,0,0,7,-29.0,1.0,8.0,,270.0,-82.0,188.0,2,2,2,1,34.0,116.0,-87.0,200.0,1,4,3,0,-5.0,2597,0,4,1846,3,63
31189,1441683554,7,67,3,919,943,11,0,0,5,55,5,2375,1635,23,0,0,8,87,3,734,499,0,0,0,9,112,2,439,556,0,0,1,7,47,5,2200,1760,21,1,0,8,2,4,1180,1236,13,0,0,6,7,2,657,539,1,0,0,6,95,4,1595,840,8,0,1,4,39,3,1119,627,3,0,0,12,57,3,734,1022,1,1,0,9,177.0,1.0,9.0,,,-80.0,267.0,1,3,2,0,238.0,,-77.0,,4,4,2,0,-31.0,1967,0,256,1974,48,63
65139,1447136563,1,106,4,1619,1338,20,0,1,8,11,4,1426,1344,20,0,1,7,55,4,1459,1361,13,1,1,11,7,2,343,589,1,0,0,11,60,2,662,1038,1,2,1,9,72,4,1831,1911,33,0,0,13,39,4,1690,1585,16,2,0,10,100,4,1670,1083,6,0,0,10,62,3,919,1205,0,2,1,11,26,2,392,620,1,0,2,11,6.0,1.0,8.0,1.0,145.0,-69.0,191.0,5,3,3,3,-21.0,111.0,-88.0,180.0,5,4,3,1,-70.0,2152,0,1824,1974,60,63
100096,1449490147,1,21,5,1941,1734,27,0,0,11,62,2,425,604,1,0,0,5,12,3,1208,1651,19,1,0,7,50,3,873,500,0,0,2,11,28,2,360,667,1,0,3,7,47,4,1949,1528,20,0,0,12,60,3,760,996,3,1,1,11,100,4,1049,1228,11,1,0,7,59,4,1614,2148,24,2,0,6,26,3,1030,1110,2,1,0,10,148.0,1.0,8.0,4.0,,-86.0,,5,3,2,1,0.0,,-83.0,,2,5,2,2,-28.0,2126,1,1796,1540,51,11
13424,1435898825,1,39,5,2063,2381,22,2,0,13,45,3,971,1164,9,1,0,13,50,3,730,1028,4,0,0,10,1,4,1542,1649,18,1,0,6,55,4,959,1192,13,0,0,9,25,4,1507,1391,18,0,1,8,94,5,1931,1429,22,0,0,8,7,2,682,595,4,0,0,10,101,2,392,499,0,0,1,9,100,4,987,881,8,0,2,9,151.0,0.0,0.0,,70.0,-86.0,183.0,4,4,4,2,-2.0,31.0,-86.0,201.0,4,4,3,1,21.0,1504,1,1982,1568,63,12
69614,1447469373,0,28,3,855,989,9,0,0,6,98,4,2017,1339,20,0,0,10,50,3,560,536,1,0,0,7,68,2,391,499,0,0,1,8,47,5,2141,1293,19,0,0,6,2,4,1849,973,10,0,0,10,59,3,1003,1611,17,1,0,8,90,2,680,717,6,0,0,6,102,2,580,540,0,0,0,7,35,4,1560,891,7,0,0,8,289.0,1.0,6.0,3.0,,-82.0,,2,2,2,0,30.0,,-86.0,298.0,3,3,2,1,-24.0,3387,0,0,1796,0,51
110495,1449922300,1,11,5,2682,2273,22,2,0,7,28,5,1774,1758,27,0,0,8,31,3,706,677,0,0,0,11,71,3,1243,964,11,0,0,9,3,3,764,923,7,1,0,8,75,3,923,500,0,0,0,7,8,3,913,1488,24,0,0,5,96,3,923,736,6,0,1,11,86,2,569,536,2,0,0,6,13,4,1519,710,5,0,2,6,175.0,0.0,0.0,9.0,201.0,-76.0,201.0,0,5,3,0,-17.0,,-87.0,,4,1,2,0,12.0,1380,1,2047,0,63,0
15340,1436454488,7,68,2,509,644,3,0,0,7,96,3,1233,1353,9,0,1,9,75,4,1914,1269,18,0,1,7,50,2,548,523,1,0,0,10,72,4,1432,1809,22,1,0,12,74,5,1821,1061,5,1,0,4,104,3,784,708,5,0,1,7,35,3,1009,1448,13,1,0,11,57,3,1074,580,2,0,0,8,112,2,534,819,4,0,0,11,119.0,0.0,1.0,,148.0,-76.0,236.0,6,3,3,1,-1.0,,-79.0,,3,1,2,0,236.0,2578,1,2036,4,63,3
