Naive Bayes,Light GBM,Random Forest,Decision Tree,Logistic regression,severity
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,1.0,1.0,1.0,5.0,1.0
3.0,2.0,3.0,1.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,1.0,3.0,3.0
3.0,2.0,1.0,3.0,3.0,3.0
1.0,1.0,1.0,3.0,1.0,3.0
3.0,2.0,5.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,1.0,1.0,1.0,3.0,3.0
1.0,1.0,1.0,1.0,1.0,3.0
1.0,2.0,3.0,1.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,4.0,10.0,10.0,3.0,10.0
3.0,2.0,3.0,3.0,3.0,10.0
3.0,2.0,3.0,3.0,5.0,10.0
0.0,1.0,1.0,1.0,1.0,3.0
10.0,2.0,3.0,3.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
10.0,4.0,10.0,10.0,1.0,
3.0,2.0,3.0,5.0,3.0,
3.0,2.0,3.0,3.0,3.0,1.0
3.0,1.0,3.0,3.0,3.0,
3.0,2.0,10.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,1.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,
5.0,2.0,3.0,3.0,3.0,3.0
1.0,1.0,1.0,3.0,1.0,
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
5.0,2.0,3.0,3.0,5.0,3.0
3.0,2.0,10.0,3.0,3.0,10.0
1.0,1.0,1.0,1.0,3.0,
5.0,4.0,3.0,1.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,10.0,3.0,10.0,1.0
3.0,2.0,1.0,0.0,3.0,1.0
1.0,1.0,1.0,3.0,1.0,3.0
3.0,2.0,10.0,3.0,3.0,3.0
3.0,2.0,3.0,1.0,3.0,
1.0,1.0,3.0,3.0,3.0,
1.0,1.0,3.0,1.0,1.0,
1.0,1.0,3.0,1.0,3.0,3.0
1.0,1.0,1.0,1.0,1.0,3.0
10.0,4.0,3.0,5.0,10.0,3.0
1.0,1.0,1.0,1.0,1.0,3.0
5.0,2.0,3.0,3.0,1.0,3.0
1.0,1.0,0.0,1.0,3.0,3.0
1.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,1.0,3.0,3.0
3.0,2.0,3.0,1.0,3.0,3.0
5.0,2.0,10.0,3.0,3.0,
10.0,2.0,3.0,3.0,3.0,10.0
1.0,2.0,1.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,1.0,3.0,3.0,3.0
1.0,1.0,1.0,3.0,3.0,
3.0,2.0,3.0,1.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
3.0,0.0,1.0,0.0,0.0,1.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
3.0,1.0,3.0,1.0,3.0,3.0
1.0,2.0,1.0,3.0,3.0,
3.0,2.0,3.0,1.0,3.0,3.0
1.0,1.0,3.0,3.0,3.0,
3.0,2.0,3.0,0.0,3.0,5.0
3.0,2.0,3.0,10.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,4.0,3.0,10.0,10.0,3.0
1.0,1.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,
3.0,4.0,3.0,10.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,
1.0,2.0,3.0,1.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
1.0,2.0,3.0,10.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
10.0,4.0,3.0,5.0,3.0,1.0
1.0,1.0,3.0,3.0,1.0,1.0
3.0,2.0,3.0,3.0,3.0,
5.0,4.0,10.0,3.0,10.0,3.0
3.0,2.0,3.0,3.0,1.0,3.0
10.0,2.0,3.0,5.0,3.0,
3.0,1.0,1.0,3.0,3.0,5.0
1.0,1.0,1.0,3.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,1.0,3.0,5.0,3.0,
3.0,2.0,3.0,3.0,3.0,0.0
3.0,2.0,3.0,1.0,3.0,3.0
1.0,1.0,0.0,1.0,1.0,1.0
3.0,2.0,3.0,3.0,1.0,0.0
10.0,4.0,3.0,3.0,10.0,1.0
1.0,1.0,1.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,1.0,0.0,3.0,1.0,1.0
3.0,2.0,3.0,3.0,1.0,3.0
3.0,4.0,3.0,10.0,10.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
5.0,3.0,1.0,1.0,3.0,
3.0,2.0,3.0,3.0,1.0,
3.0,2.0,3.0,3.0,3.0,0.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,5.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,1.0,3.0,
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,0.0,1.0,5.0,3.0
3.0,1.0,1.0,1.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,1.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,0.0
3.0,2.0,3.0,3.0,3.0,0.0
3.0,1.0,3.0,3.0,3.0,0.0
3.0,1.0,0.0,3.0,0.0,3.0
3.0,2.0,3.0,1.0,3.0,3.0
5.0,2.0,3.0,1.0,5.0,1.0
3.0,2.0,1.0,0.0,3.0,1.0
1.0,1.0,1.0,1.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,1.0,3.0,1.0
0.0,0.0,3.0,1.0,0.0,1.0
3.0,1.0,3.0,1.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
10.0,2.0,3.0,1.0,1.0,3.0
3.0,2.0,10.0,3.0,3.0,
3.0,2.0,3.0,3.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,
1.0,2.0,1.0,3.0,3.0,1.0
1.0,1.0,1.0,1.0,3.0,
3.0,2.0,3.0,3.0,3.0,0.0
3.0,2.0,3.0,3.0,3.0,3.0
10.0,3.0,5.0,10.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
3.0,1.0,1.0,1.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
0.0,1.0,3.0,3.0,1.0,3.0
1.0,1.0,3.0,1.0,3.0,3.0
5.0,2.0,5.0,3.0,5.0,3.0
3.0,2.0,3.0,3.0,3.0,0.0
1.0,1.0,1.0,1.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
1.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,0.0,3.0,
3.0,2.0,3.0,3.0,3.0,
10.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,1.0,1.0
5.0,3.0,5.0,5.0,3.0,1.0
3.0,2.0,3.0,3.0,1.0,1.0
3.0,2.0,3.0,5.0,3.0,3.0
3.0,3.0,3.0,3.0,5.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,1.0,
3.0,2.0,3.0,10.0,3.0,1.0
3.0,2.0,3.0,3.0,1.0,
1.0,1.0,3.0,3.0,5.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
0.0,1.0,1.0,1.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,1.0,3.0
3.0,2.0,10.0,10.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,10.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
3.0,1.0,3.0,1.0,1.0,
1.0,1.0,1.0,1.0,1.0,
3.0,2.0,3.0,5.0,3.0,5.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,1.0,3.0,10.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,5.0,3.0,3.0
3.0,2.0,1.0,1.0,1.0,3.0
1.0,1.0,1.0,1.0,1.0,3.0
1.0,1.0,1.0,0.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
1.0,2.0,1.0,3.0,3.0,3.0
1.0,2.0,3.0,1.0,1.0,3.0
3.0,2.0,1.0,1.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
1.0,1.0,1.0,1.0,1.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,1.0,3.0,3.0,3.0,3.0
0.0,1.0,3.0,1.0,1.0,3.0
1.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,1.0,1.0,1.0,3.0
10.0,4.0,5.0,3.0,3.0,3.0
1.0,2.0,3.0,1.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,1.0,0.0,3.0,1.0,3.0
1.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,3.0,5.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,0.0
3.0,2.0,3.0,3.0,3.0,3.0
10.0,2.0,3.0,5.0,10.0,3.0
1.0,1.0,3.0,3.0,1.0,
3.0,2.0,3.0,3.0,3.0,1.0
3.0,1.0,3.0,1.0,1.0,3.0
10.0,4.0,10.0,10.0,3.0,0.0
3.0,2.0,3.0,3.0,10.0,
0.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,4.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,10.0,10.0,3.0,3.0
3.0,2.0,1.0,3.0,3.0,3.0
3.0,2.0,1.0,3.0,3.0,3.0
1.0,1.0,0.0,1.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
5.0,2.0,3.0,10.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,1.0,10.0,
1.0,1.0,1.0,1.0,1.0,0.0
3.0,2.0,3.0,5.0,3.0,3.0
3.0,2.0,3.0,3.0,1.0,
3.0,2.0,3.0,5.0,3.0,1.0
1.0,2.0,3.0,3.0,3.0,3.0
1.0,1.0,3.0,3.0,3.0,3.0
3.0,2.0,1.0,3.0,1.0,3.0
3.0,1.0,3.0,1.0,3.0,3.0
3.0,2.0,1.0,0.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
1.0,2.0,3.0,5.0,3.0,0.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,1.0
3.0,1.0,0.0,1.0,3.0,3.0
3.0,1.0,0.0,3.0,1.0,1.0
3.0,2.0,3.0,3.0,3.0,10.0
3.0,2.0,3.0,0.0,3.0,
3.0,1.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,1.0,3.0,3.0,
5.0,3.0,5.0,3.0,5.0,1.0
3.0,1.0,1.0,0.0,3.0,1.0
1.0,2.0,3.0,3.0,5.0,
1.0,1.0,3.0,3.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,1.0,3.0,3.0,1.0
5.0,2.0,3.0,1.0,3.0,0.0
1.0,2.0,3.0,3.0,3.0,0.0
1.0,1.0,1.0,3.0,1.0,1.0
10.0,4.0,10.0,10.0,10.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,10.0,3.0,1.0
1.0,1.0,1.0,3.0,3.0,
3.0,2.0,1.0,3.0,3.0,3.0
1.0,2.0,1.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
5.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,3.0,1.0,3.0,
3.0,1.0,1.0,1.0,3.0,3.0
1.0,1.0,1.0,1.0,1.0,1.0
5.0,2.0,3.0,5.0,3.0,
3.0,1.0,1.0,3.0,1.0,3.0
3.0,2.0,1.0,3.0,1.0,3.0
3.0,1.0,3.0,3.0,3.0,3.0
3.0,2.0,5.0,3.0,3.0,1.0
10.0,4.0,10.0,3.0,10.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
1.0,2.0,1.0,3.0,3.0,1.0
1.0,2.0,1.0,3.0,3.0,3.0
1.0,1.0,3.0,3.0,1.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0
3.0,0.0,1.0,0.0,10.0,0.0
3.0,2.0,3.0,3.0,3.0,0.0
1.0,2.0,1.0,1.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
10.0,4.0,10.0,10.0,10.0,
0.0,1.0,1.0,0.0,0.0,3.0
3.0,2.0,3.0,1.0,1.0,
3.0,2.0,10.0,3.0,3.0,1.0
10.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
1.0,1.0,3.0,1.0,3.0,3.0
3.0,1.0,3.0,3.0,3.0,10.0
3.0,2.0,3.0,3.0,3.0,10.0
3.0,2.0,1.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,1.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,3.0,5.0,3.0,3.0
3.0,2.0,3.0,10.0,3.0,
1.0,2.0,3.0,3.0,3.0,1.0
1.0,2.0,1.0,3.0,1.0,1.0
3.0,2.0,3.0,3.0,1.0,1.0
3.0,2.0,3.0,3.0,3.0,
5.0,3.0,3.0,5.0,3.0,5.0
3.0,2.0,3.0,3.0,3.0,3.0
10.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,1.0,3.0,3.0,5.0
10.0,3.0,1.0,10.0,3.0,0.0
3.0,2.0,3.0,10.0,3.0,3.0
3.0,1.0,3.0,3.0,1.0,
3.0,2.0,3.0,3.0,3.0,10.0
3.0,2.0,3.0,1.0,1.0,10.0
1.0,1.0,3.0,1.0,1.0,1.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,
5.0,2.0,3.0,5.0,5.0,
3.0,2.0,3.0,3.0,5.0,3.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,10.0
1.0,2.0,3.0,1.0,1.0,3.0
0.0,1.0,1.0,1.0,3.0,1.0
1.0,1.0,1.0,1.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,
3.0,1.0,3.0,3.0,5.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,5.0,
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,1.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,3.0,1.0,5.0,
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,1.0,1.0,1.0,1.0,3.0
1.0,2.0,1.0,1.0,1.0,3.0
5.0,1.0,1.0,3.0,3.0,3.0
1.0,2.0,3.0,1.0,3.0,1.0
1.0,2.0,3.0,0.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,5.0,5.0,3.0,
3.0,2.0,3.0,3.0,3.0,
1.0,2.0,3.0,10.0,1.0,1.0
3.0,2.0,5.0,3.0,3.0,1.0
1.0,2.0,3.0,3.0,1.0,3.0
3.0,1.0,3.0,0.0,0.0,3.0
10.0,4.0,10.0,10.0,1.0,3.0
1.0,2.0,3.0,3.0,5.0,3.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,1.0,1.0,
3.0,3.0,3.0,10.0,5.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,3.0,1.0,3.0,3.0
3.0,1.0,1.0,1.0,1.0,3.0
1.0,2.0,1.0,1.0,3.0,3.0
3.0,2.0,1.0,1.0,3.0,
3.0,2.0,3.0,5.0,5.0,1.0
3.0,2.0,3.0,3.0,3.0,
1.0,1.0,1.0,1.0,1.0,3.0
0.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,1.0,3.0,1.0
5.0,2.0,3.0,10.0,3.0,0.0
3.0,1.0,1.0,0.0,3.0,1.0
1.0,1.0,3.0,1.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,5.0,3.0
1.0,1.0,3.0,3.0,3.0,
3.0,2.0,3.0,5.0,3.0,3.0
3.0,4.0,10.0,1.0,3.0,
10.0,4.0,3.0,10.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,1.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,1.0,3.0,1.0
1.0,2.0,3.0,1.0,3.0,1.0
1.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,0.0
3.0,2.0,3.0,10.0,1.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
1.0,1.0,1.0,1.0,3.0,
10.0,3.0,3.0,3.0,3.0,1.0
5.0,3.0,5.0,5.0,3.0,
1.0,2.0,1.0,3.0,1.0,3.0
1.0,2.0,3.0,0.0,3.0,3.0
3.0,1.0,0.0,1.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,1.0,1.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,1.0,3.0,1.0,1.0
10.0,4.0,10.0,10.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
1.0,1.0,3.0,3.0,1.0,1.0
3.0,2.0,10.0,3.0,3.0,
3.0,2.0,3.0,3.0,1.0,3.0
3.0,2.0,3.0,3.0,5.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,1.0,1.0,1.0,1.0,
3.0,2.0,3.0,3.0,1.0,3.0
1.0,1.0,1.0,1.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
10.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
5.0,2.0,10.0,1.0,5.0,
1.0,1.0,1.0,3.0,0.0,3.0
10.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
5.0,2.0,3.0,3.0,1.0,3.0
3.0,2.0,3.0,3.0,1.0,1.0
3.0,2.0,3.0,3.0,1.0,
5.0,2.0,3.0,5.0,3.0,
5.0,4.0,3.0,10.0,3.0,1.0
5.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,3.0,1.0,1.0,3.0
1.0,2.0,3.0,3.0,1.0,10.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,0.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
0.0,0.0,0.0,0.0,3.0,0.0
3.0,2.0,3.0,1.0,1.0,0.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,1.0,3.0,3.0
3.0,2.0,3.0,10.0,3.0,3.0
3.0,2.0,3.0,5.0,3.0,
1.0,1.0,3.0,3.0,1.0,0.0
3.0,2.0,3.0,3.0,3.0,0.0
1.0,2.0,1.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,2.0,3.0,3.0,1.0,3.0
3.0,2.0,3.0,3.0,1.0,3.0
1.0,1.0,3.0,3.0,1.0,5.0
3.0,2.0,1.0,3.0,3.0,5.0
5.0,3.0,3.0,5.0,3.0,0.0
1.0,1.0,0.0,1.0,3.0,1.0
3.0,2.0,3.0,1.0,1.0,1.0
3.0,2.0,10.0,10.0,5.0,1.0
5.0,3.0,5.0,5.0,5.0,0.0
10.0,2.0,3.0,1.0,10.0,0.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,1.0,3.0,0.0
0.0,1.0,3.0,1.0,3.0,
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,10.0,
1.0,1.0,1.0,10.0,3.0,1.0
3.0,2.0,5.0,3.0,3.0,5.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,1.0,1.0,1.0,3.0,3.0
10.0,3.0,5.0,5.0,5.0,3.0
3.0,1.0,1.0,3.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,1.0,0.0
3.0,2.0,3.0,3.0,3.0,1.0
10.0,2.0,3.0,0.0,3.0,3.0
1.0,1.0,1.0,1.0,1.0,3.0
5.0,2.0,3.0,3.0,10.0,3.0
10.0,4.0,10.0,3.0,10.0,10.0
3.0,2.0,3.0,1.0,3.0,3.0
3.0,1.0,1.0,3.0,1.0,
3.0,1.0,3.0,3.0,3.0,5.0
3.0,2.0,3.0,3.0,3.0,10.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,5.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,10.0,3.0
3.0,1.0,1.0,1.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
1.0,0.0,0.0,0.0,1.0,3.0
1.0,2.0,3.0,3.0,3.0,3.0
1.0,1.0,1.0,1.0,1.0,0.0
1.0,2.0,3.0,0.0,1.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,1.0
3.0,2.0,3.0,5.0,3.0,
1.0,1.0,3.0,1.0,3.0,1.0
3.0,2.0,3.0,3.0,3.0,10.0
3.0,2.0,3.0,1.0,3.0,
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,5.0,10.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,0.0,0.0,0.0,3.0,
3.0,1.0,3.0,1.0,1.0,3.0
1.0,1.0,3.0,3.0,1.0,3.0
0.0,1.0,1.0,1.0,3.0,1.0
1.0,2.0,3.0,3.0,3.0,1.0
1.0,2.0,1.0,1.0,1.0,
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,1.0,0.0,3.0,1.0
3.0,2.0,1.0,3.0,3.0,
1.0,2.0,3.0,3.0,1.0,1.0
1.0,2.0,1.0,1.0,3.0,10.0
3.0,4.0,10.0,5.0,3.0,
1.0,2.0,3.0,3.0,10.0,
1.0,1.0,3.0,1.0,1.0,3.0
1.0,2.0,3.0,3.0,3.0,1.0
1.0,2.0,3.0,5.0,3.0,3.0
3.0,2.0,3.0,10.0,3.0,1.0
3.0,1.0,3.0,1.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,
3.0,2.0,3.0,3.0,3.0,1.0
3.0,1.0,1.0,3.0,3.0,
1.0,1.0,1.0,1.0,3.0,3.0
10.0,4.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,1.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,1.0,3.0
3.0,1.0,3.0,3.0,3.0,3.0
5.0,2.0,3.0,3.0,10.0,1.0
10.0,2.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,1.0,5.0
5.0,2.0,3.0,5.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,3.0
